date,dep,n,elapsed_time
2020-03-06,Bogotá D.C.,1,0
2020-03-09,Antioquia,1,3
2020-03-09,Valle del Cauca,1,3
2020-03-11,Antioquia,3,5
2020-03-11,Bogotá D.C.,2,5
2020-03-12,Bogotá D.C.,2,6
2020-03-13,Bogotá D.C.,1,7
2020-03-13,Meta,1,7
2020-03-13,Valle del Cauca,1,7
2020-03-14,Antioquia,3,8
2020-03-14,Bogotá D.C.,5,8
2020-03-15,Antioquia,1,9
2020-03-15,Bogotá D.C.,8,9
2020-03-15,Caldas,1,9
2020-03-15,Cundinamarca,1,9
2020-03-15,Risaralda,1,9
2020-03-15,Valle del Cauca,1,9
2020-03-16,Bogotá D.C.,11,10
2020-03-16,Cundinamarca,1,10
2020-03-17,Bogotá D.C.,9,11
2020-03-17,Santander,1,11
2020-03-17,Valle del Cauca,2,11
2020-03-18,Bogotá D.C.,5,12
2020-03-18,Cundinamarca,2,12
2020-03-18,Quindío,2,12
2020-03-18,Risaralda,4,12
2020-03-18,Santander,1,12
2020-03-18,Tolima,2,12
2020-03-18,Valle del Cauca,8,12
2020-03-19,Antioquia,3,13
2020-03-19,Bogotá D.C.,8,13
2020-03-19,Caldas,1,13
2020-03-19,Cauca,2,13
2020-03-19,Cundinamarca,1,13
2020-03-19,Quindío,1,13
2020-03-19,Valle del Cauca,1,13
2020-03-20,Antioquia,11,14
2020-03-20,Bogotá D.C.,29,14
2020-03-20,Cundinamarca,3,14
2020-03-20,Risaralda,1,14
2020-03-20,Valle del Cauca,1,14
2020-03-21,Antioquia,3,15
2020-03-21,Bogotá D.C.,6,15
2020-03-21,Caldas,1,15
2020-03-21,Cundinamarca,1,15
2020-03-21,Risaralda,2,15
2020-03-21,Tolima,1,15
2020-03-21,Valle del Cauca,11,15
2020-03-22,Antioquia,5,16
2020-03-22,Bogotá D.C.,4,16
2020-03-22,Caldas,3,16
2020-03-22,Casanare,1,16
2020-03-22,Quindío,3,16
2020-03-22,Risaralda,5,16
2020-03-22,Santander,1,16
2020-03-22,Tolima,1,16
2020-03-22,Valle del Cauca,5,16
2020-03-23,Antioquia,22,17
2020-03-23,Bogotá D.C.,22,17
2020-03-23,Caldas,1,17
2020-03-23,Cundinamarca,5,17
2020-03-23,Meta,4,17
2020-03-23,Quindío,1,17
2020-03-23,Risaralda,1,17
2020-03-23,Valle del Cauca,6,17
2020-03-24,Bogotá D.C.,48,18
2020-03-24,Caldas,2,18
2020-03-24,Cauca,1,18
2020-03-24,Cundinamarca,7,18
2020-03-24,Meta,2,18
2020-03-24,Quindío,1,18
2020-03-24,Risaralda,3,18
2020-03-24,Tolima,4,18
2020-03-24,Valle del Cauca,29,18
2020-03-25,Antioquia,8,19
2020-03-25,Bogotá D.C.,16,19
2020-03-25,Boyacá,1,19
2020-03-25,Caldas,2,19
2020-03-25,Cauca,6,19
2020-03-25,Cundinamarca,1,19
2020-03-25,Meta,1,19
2020-03-25,Quindío,4,19
2020-03-25,Risaralda,2,19
2020-03-25,Santander,1,19
2020-03-25,Tolima,1,19
2020-03-25,Valle del Cauca,5,19
2020-03-26,Bogotá D.C.,7,20
2020-03-26,Boyacá,1,20
2020-03-26,Valle del Cauca,2,20
2020-03-27,Bogotá D.C.,38,21
2020-03-27,Caldas,1,21
2020-03-27,Cundinamarca,1,21
2020-03-27,Quindío,3,21
2020-03-28,Antioquia,7,22
2020-03-28,Bogotá D.C.,38,22
2020-03-28,Caldas,1,22
2020-03-28,Cundinamarca,2,22
2020-03-28,Quindío,1,22
2020-03-28,Valle del Cauca,11,22
2020-03-29,Antioquia,19,23
2020-03-29,Bogotá D.C.,33,23
2020-03-29,Boyacá,1,23
2020-03-29,Caldas,1,23
2020-03-29,Risaralda,10,23
2020-03-29,Santander,4,23
2020-03-29,Valle del Cauca,8,23
2020-03-30,Antioquia,10,24
2020-03-30,Bogotá D.C.,56,24
2020-03-30,Boyacá,1,24
2020-03-30,Caldas,1,24
2020-03-30,Cundinamarca,4,24
2020-03-30,Valle del Cauca,13,24
2020-03-31,Antioquia,5,25
2020-03-31,Bogotá D.C.,41,25
2020-03-31,Boyacá,2,25
2020-03-31,Cundinamarca,9,25
2020-03-31,Meta,3,25
2020-03-31,Risaralda,6,25
2020-03-31,Santander,3,25
2020-03-31,Valle del Cauca,11,25
2020-04-01,Antioquia,6,26
2020-04-01,Bogotá D.C.,82,26
2020-04-01,Casanare,1,26
2020-04-01,Cauca,3,26
2020-04-01,Cundinamarca,4,26
2020-04-01,Meta,1,26
2020-04-01,Quindío,7,26
2020-04-01,Santander,1,26
2020-04-01,Tolima,5,26
2020-04-01,Valle del Cauca,31,26
2020-04-02,Antioquia,20,27
2020-04-02,Bogotá D.C.,70,27
2020-04-02,Caldas,1,27
2020-04-02,Valle del Cauca,3,27
