date,dep,n,cumulative_dep,elapsed_time
2020-03-06,Bogotá D.C.,1,1,0
2020-03-09,Antioquia,1,1,3
2020-03-09,Valle del Cauca,1,1,3
2020-03-11,Antioquia,3,4,5
2020-03-11,Bogotá D.C.,2,3,5
2020-03-12,Bogotá D.C.,2,5,6
2020-03-13,Bogotá D.C.,1,6,7
2020-03-13,Valle del Cauca,1,2,7
2020-03-14,Antioquia,3,7,8
2020-03-14,Bogotá D.C.,5,11,8
2020-03-15,Antioquia,1,8,9
2020-03-15,Bogotá D.C.,8,19,9
2020-03-15,Cundinamarca,1,1,9
2020-03-15,Risaralda,1,1,9
2020-03-15,Valle del Cauca,1,3,9
2020-03-16,Bogotá D.C.,11,30,10
2020-03-16,Cundinamarca,1,2,10
2020-03-17,Bogotá D.C.,9,39,11
2020-03-17,Valle del Cauca,2,5,11
2020-03-18,Bogotá D.C.,5,44,12
2020-03-18,Cundinamarca,2,4,12
2020-03-18,Risaralda,4,5,12
2020-03-18,Valle del Cauca,8,13,12
2020-03-19,Antioquia,3,11,13
2020-03-19,Bogotá D.C.,8,52,13
2020-03-19,Cundinamarca,1,5,13
2020-03-19,Valle del Cauca,1,14,13
2020-03-20,Antioquia,11,22,14
2020-03-20,Bogotá D.C.,29,81,14
2020-03-20,Cundinamarca,3,8,14
2020-03-20,Risaralda,1,6,14
2020-03-20,Valle del Cauca,1,15,14
2020-03-21,Antioquia,3,25,15
2020-03-21,Bogotá D.C.,6,87,15
2020-03-21,Cundinamarca,1,9,15
2020-03-21,Risaralda,2,8,15
2020-03-21,Valle del Cauca,11,26,15
2020-03-22,Antioquia,5,30,16
2020-03-22,Bogotá D.C.,4,91,16
2020-03-22,Risaralda,5,13,16
2020-03-22,Valle del Cauca,5,31,16
2020-03-23,Antioquia,22,52,17
2020-03-23,Bogotá D.C.,22,113,17
2020-03-23,Cundinamarca,5,14,17
2020-03-23,Risaralda,1,14,17
2020-03-23,Valle del Cauca,6,37,17
2020-03-24,Bogotá D.C.,48,161,18
2020-03-24,Cundinamarca,7,21,18
2020-03-24,Risaralda,3,17,18
2020-03-24,Valle del Cauca,29,66,18
2020-03-25,Antioquia,8,60,19
2020-03-25,Bogotá D.C.,16,177,19
2020-03-25,Cundinamarca,1,22,19
2020-03-25,Risaralda,2,19,19
2020-03-25,Valle del Cauca,5,71,19
2020-03-26,Bogotá D.C.,7,184,20
2020-03-26,Valle del Cauca,2,73,20
2020-03-27,Bogotá D.C.,38,222,21
2020-03-27,Cundinamarca,1,23,21
2020-03-28,Antioquia,7,67,22
2020-03-28,Bogotá D.C.,38,260,22
2020-03-28,Cundinamarca,2,25,22
2020-03-28,Valle del Cauca,11,84,22
2020-03-29,Antioquia,19,86,23
2020-03-29,Bogotá D.C.,33,293,23
2020-03-29,Risaralda,10,29,23
2020-03-29,Valle del Cauca,8,92,23
2020-03-30,Antioquia,10,96,24
2020-03-30,Bogotá D.C.,56,349,24
2020-03-30,Cundinamarca,4,29,24
2020-03-30,Valle del Cauca,13,105,24
2020-03-31,Antioquia,5,101,25
2020-03-31,Bogotá D.C.,41,390,25
2020-03-31,Cundinamarca,9,38,25
2020-03-31,Risaralda,6,35,25
2020-03-31,Valle del Cauca,11,116,25
2020-04-01,Antioquia,6,107,26
2020-04-01,Bogotá D.C.,82,472,26
2020-04-01,Cundinamarca,4,42,26
2020-04-01,Valle del Cauca,31,147,26
2020-04-02,Antioquia,20,127,27
2020-04-02,Bogotá D.C.,70,542,27
2020-04-02,Valle del Cauca,3,150,27
