state,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02
Bogota,1,1,1,1,1,3,3,6,11,19,31,40,45,53,65,88,92,114,120,170,187,223,264,297,350,390,472,542
Amazonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antioquia,0,0,0,1,1,4,4,4,7,8,8,8,8,11,22,25,25,51,52,59,59,60,67,86,96,101,107,127
Arauca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atlantico,0,0,0,0,0,0,0,0,0,0,0,2,2,5,5,7,7,7,9,12,13,16,20,24,25,33,35,35
Bolivar,0,0,0,0,0,1,1,1,1,3,3,5,7,9,9,14,14,16,21,26,26,26,28,37,40,42,42,42
Boyaca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,3,4,6,6,6
Caldas,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,3,6,7,9,10,10,12,13,14,15,15,15,16
Caqueta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Casanare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2
Cauca,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,3,9,9,9,9,9,9,9,11,12
Cesar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,3,4,4,11,16,16
Choco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cordoba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2
Cundinamarca,0,0,0,0,0,0,0,0,0,1,1,1,3,4,7,8,8,13,21,21,21,22,23,23,29,38,42,42
Guainia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guaviare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Huila,0,0,0,0,0,0,0,2,2,7,7,7,8,9,9,10,10,11,14,14,14,14,14,16,21,24,30,30
La Guajira,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Magdalena,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,4,5,5,7,7,7,8,10,12,12
Meta,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,5,7,8,8,8,8,8,8,11,12,12
Narino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,4,6,6
Norte de Santander,0,0,0,0,0,0,0,0,0,1,1,3,3,6,6,8,8,8,11,15,15,15,15,15,16,19,19,21
Putumayo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quindio,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3,6,7,8,12,12,15,16,16,16,16,23,23
Risaralda,0,0,0,0,0,0,0,0,0,1,1,1,5,5,6,8,13,14,17,19,19,19,19,29,29,35,35,35
San Andres y Providencia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2
Santander,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,3,3,3,4,4,4,4,8,8,11,12,12
Sucre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Tolima,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,4,4,8,9,9,9,9,9,9,9,14,14
Valle del Cauca,0,0,1,1,1,1,1,2,2,3,3,5,13,14,15,26,31,37,66,71,73,73,83,91,104,116,148,150
Vaupes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vichada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
